"GeneStart","GeneEnd","GeneLocation","Strand","Protein_ID","GeneID","Protein_ID.1","Protein.product","Locus","Length","pi.site","pis.site","pin.site","TajimaD","FuLiF","FuLiD","pi_site","FayWuH","neutindex","alpha","dos","MK_p","Dn","Ds","Pn","Ps","biofilm","Comella","Berka","Kobayashi","Molle","aa","a","PSORTB","Extracellular","PANNZER_OG","PANNZER_NEW","PANNZER_ALL","PANNZER_EX","CAZY","ANTISMASH","antianti","ka","ks","kaks","nonsyn_sites","syn_sites","PI_SITE","PIS_SITE","PIN_SITE","PERCENTwREADS","map_read_len_percent","QS","as","ad","af","ag","ah","sel1[, 50]/sel1[, 49]"
23187,23807,"23187 - 23807","-","WP_003247138.1","B4U62_RS00105","WP_003247138.1"," deoxyguanosine kinase","dgk",620,4.670967742,1.290322581,3.380645161,-2.158209939,-3.828994055,-3.962476802,0.007533819,NA,0.90625,0.09375,0.022222222,1,2,1,29,16,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.029289944,0.241785455,0.121140225,385.7311988,234.2688012,0.007533819,0.005507872,0.008764251,96.77419355,0.980252277,0,0,0,0,0,0,1.59122270815299
23909,25189,"23909 - 25189","-","WP_003247133.1","B4U62_RS00110","WP_003247133.1"," glycoside hydrolase family 18 protein","sleL",1280,21.76344086,10.24516129,11.51827957,-1.266365903,-1.307910087,-1.120874366,0.017002688,NA,0.744827586,0.255172414,0.071153846,1,5,3,72,58,0,0,0,0,0,0,0,"Unknown",0,0,0,0,0,1,0,0,0.035070472,0.383250437,0.091507977,786.2000428,493.7999572,0.017002688,0.020747595,0.014650571,100,0.996658626,0,0,0,0,0,0,0.706133457877889
25262,25804,"25262 - 25804","-","WP_003247139.1","B4U62_RS00115","WP_003247139.1"," cysteine hydrolase","yaaI",542,9.144086022,5.922580645,3.221505376,-1.422438487,-3.095846758,-3.383991568,0.016871007,NA,1.243902439,-0.243902439,-0.043103448,1,1,3,17,41,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.042695484,0.360181621,0.118538764,339.5112306,202.4887694,0.016871007,0.029248934,0.009488656,100,0.999291032,0,0,0,0,0,0,0.324410318680332
25890,26372,"25890 - 26372","+","WP_003247140.1","B4U62_RS00120","WP_003247140.1"," tRNA adenosine(34) deaminase TadA","tadA",482,8.713978495,6.950537634,1.76344086,-1.56904156,-3.181535171,-3.420916974,0.018078794,NA,0.673469388,0.326530612,0.066666667,0.573913714,1,3,11,49,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.034835109,0.575845666,0.060493828,317.749995,164.250005,0.018078794,0.042316818,0.005549775,100,1,0,0,0,0,0,0,0.131148211569216
26852,28540,"26852 - 28540","+","WP_003247135.1","B4U62_RS00130","WP_003247135.1"," DNA polymerase III subunit gamma/tau","dnaX",1688,11.25591398,4.916129032,6.339784946,-2.222595902,-3.939582364,-4.08155154,0.006668195,NA,1.355555556,-0.355555556,-0.075560803,1,3,4,61,60,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.018489873,0.301520144,0.06132218,1089.512706,598.4872937,0.006668195,0.008214258,0.005818918,100,0.997635932,0,0,0,0,0,0,0.708392407445688
28567,28887,"28567 - 28887","+","WP_003225427.1","B4U62_RS00135","WP_003225427.1"," YbaB/EbfC family nucleoid-associated protein","ebfC",320,0.705376344,0.447311828,0.258064516,-2.258245041,-3.507413633,-3.484726149,0.002204301,NA,NA,NA,-0.4,1,0,1,4,6,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0,0.154742357,0,223,97,0.002204301,0.004611462,0.00115724,96.77419355,0.984767026,0,0,0,0,0,0,0.250948614560849
28905,29498,"28905 - 29498","+","WP_003225425.1","B4U62_RS00140","WP_003225425.1"," recombination protein RecR","recR",593,3.802150538,3.737634409,0.064516129,-0.534352984,-1.317148628,-1.494573588,0.006411721,NA,NA,NA,-0.055555556,1,0,5,1,17,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.002600786,0.139822345,0.018600647,385.5,207.5,0.006411721,0.018012696,0.000167357,100,0.997406387,0,0,0,0,0,0,0.00929105781832991
29519,29740,"29519 - 29740","+","WP_003242387.1","B4U62_RS00145","WP_003242387.1"," YaaL family protein","yaaL",221,1.070967742,1.070967742,0,-1.799009842,-3.341387066,-3.484726149,0.004846008,NA,0,1,0.2,0.333333333,1,4,0,10,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.007353074,0.201580394,0.036477127,137,84,0.004846008,0.012749616,0,96.77419355,0.989964158,0,0,0,0,0,0,0
29810,30070,"29810 - 30070","+","WP_003225421.1","B4U62_RS00150","WP_003225421.1"," sigma-K factor-processing regulator BofA","bofA",260,3.466666667,0.550537634,2.916129032,-0.630020334,-1.480949204,-1.658580102,0.013333333,NA,2.5,-1.5,-0.166666667,0.488721805,2,1,15,3,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.016551603,0.289114781,0.057249246,168.499998,91.500002,0.013333333,0.006016805,0.017306404,96.77419355,0.987658845,0,0,0,0,0,0,2.87634450509864
35568,35759,"35568 - 35759","+","WP_003243294.1","B4U62_RS00180","WP_003243294.1"," anti-sigma-G factor","csfB",191,1.230107527,0.735483871,0.494623656,-1.767995018,-1.853137839,-1.596340464,0.006440354,NA,NA,NA,-0.416666667,0.244505495,0,4,5,7,0,0,0,0,0,0,0,"Unknown",0,0,0,0,0,0,0,0,0.037210866,0.300682945,0.123754495,123.5,67.5,0.006440354,0.010896057,0.00400505,96.77419355,1,0,0,0,0,0,0,0.367568745280976
35882,36493,"35882 - 36493","+","WP_003242630.1","B4U62_RS00185","WP_003242630.1"," 5-bromo-4-chloroindolyl phosphate hydrolysis family protein","xpaC",611,6.774193548,2.907526882,3.866666667,-1.855968369,-3.414950721,-3.577704574,0.01108706,NA,2.348484848,-1.348484848,-0.198660714,0.437596069,2,5,31,33,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.057332781,0.373880714,0.153345115,383.7655403,227.2344597,0.01108706,0.012795273,0.010075596,100,0.992709152,0,0,0,0,0,0,0.787446739119986
36515,37672,"36515 - 37672","+","WP_003226779.1","B4U62_RS00190","WP_003226779.1"," toxic anion resistance protein","yaaN",1157,10.90752688,9.139784946,1.767741935,-1.312426407,-2.592988475,-2.783353386,0.009427422,NA,1,0,0,1,5,20,16,64,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.023606537,0.316753419,0.074526543,730.7936734,426.2063266,0.009427422,0.021444508,0.002418934,100,0.996638048,0,0,0,0,0,0,0.112799696780173
37757,39196,"37757 - 39196","+","WP_003243352.1","B4U62_RS00195","WP_003243352.1"," aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme","yaaO",1439,20.04731183,11.14408602,8.903225806,-1.685221181,-2.989244559,-3.114478596,0.013931419,NA,0.233333333,0.766666667,0.338235294,0.075359051,6,2,56,80,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.052774013,0.268333014,0.196673576,926.9415247,512.0584753,0.013931419,0.021763307,0.009604949,100,0.998748129,0,0,0,0,0,0,0.441336833597945
39196,39831,"39196 - 39831","+","WP_003243137.1","B4U62_RS00200","WP_003243137.1"," dTMP kinase","tmk",635,8.894623656,3.664516129,5.230107527,-1.632706644,-3.110512633,-3.295580761,0.014007281,NA,8,-7,-0.466666667,0.057278652,1,4,42,21,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.037823769,0.344909337,0.10966293,403.6382005,231.3617995,0.014007281,0.015838899,0.012957415,100,0.997526374,0,0,0,0,0,0,0.818075486181205
39908,40234,"39908 - 40234","+","WP_003242755.1","B4U62_RS00205","WP_003242755.1"," cyclic di-AMP receptor DarA","darA",326,1.76344086,0.632258065,1.131182796,-1.33805221,-2.26090694,-2.3192669,0.005409328,NA,1.666666667,-0.666666667,-0.083333333,1,3,1,10,2,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.004662038,0.176035011,0.026483587,215.5,110.5,0.005409328,0.005721792,0.005249108,100,0.9971652,0,0,0,0,0,0,0.917388818048611
40250,40687,"40250 - 40687","+","WP_009966249.1","B4U62_RS00210","WP_009966249.1"," YaaR family protein","yaaR",437,3.440860215,0,3.440860215,-1.88452692,-2.718522407,-2.650578469,0.007873822,NA,NA,NA,0,1,4,0,29,0,0,0,0,0,0,0,0,"Unknown",0,0,0,0,0,0,0,0,0.01413561,0.274263671,0.051540221,279.499999,157.500001,0.007873822,0,0.01231077,100,0.994806526,0,0,0,0,0,0,NA
40702,41688,"40702 - 41688","+","WP_003244417.1","B4U62_RS00215","WP_003244417.1"," DNA polymerase III subunit delta'","holB",986,4.129032258,3.255913978,0.87311828,-2.230542509,-3.769124893,-3.846806802,0.004187659,NA,1.4,-0.4,-0.041666667,1,1,7,7,35,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.01146554,0.170741191,0.067151575,631.999998,354.000002,0.004187659,0.009197497,0.001381516,100,0.990029326,0,0,0,0,0,0,0.150205648341065
41694,42518,"41694 - 42518","+","WP_003243571.1","B4U62_RS00220","WP_003243571.1"," competence/sporulation regulator complex protein RicT","ricT",824,3.621505376,2.937634409,0.683870968,-2.261153099,-3.923217449,-4.031342656,0.004395031,NA,NA,NA,-0.131578947,1,0,6,5,33,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,1,0,0,0,0,0.004729788,0.213159458,0.022188965,534,290,0.004395031,0.010129774,0.001280657,100,0.997857255,0,0,0,0,0,0,0.126425031792417
42536,42892,"42536 - 42892","+","WP_003218308.1","B4U62_RS00225","WP_003218308.1"," replication initiation-control protein YabA","yabA",356,1.789247312,1.789247312,0,0.061992155,-1.155557652,-1.537365714,0.005025976,NA,NA,NA,NA,1,0,0,0,7,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0,0.078242653,0,223,133,0.005025976,0.013452987,0,100,0.995519713,0,0,0,0,0,0,0
42954,43694,"42954 - 43694","+","WP_003244526.1","B4U62_RS00230","WP_003244526.1"," tRNA1(Val) (adenine(37)-N6)-methyltransferase","trmNF",740,9.019354839,6.16344086,2.855913978,-1.237978567,-2.060027726,-2.121873386,0.012188317,NA,1.065789474,-0.065789474,-0.013736264,1,4,9,18,38,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.012573455,0.344049808,0.03654545,470.166662,269.833338,0.012188317,0.022841658,0.006074259,100,0.992715919,0,0,0,0,0,0,0.265928988167146
43684,43980,"43684 - 43980","+","WP_003242983.1","B4U62_RS00235","WP_003242983.1"," GIY-YIG nuclease family protein","yazA",296,3.023655914,2.455913978,0.567741935,-1.667323854,-2.552849924,-2.542422755,0.010215054,NA,0.705882353,0.294117647,0.072463768,1,1,2,6,17,0,0,0,0,0,0,0,"Unknown",0,0,0,0,0,0,0,0,0.031478833,0.328110396,0.095939762,193.5,102.5,0.010215054,0.023960136,0.002934067,100,0.998494623,0,0,0,0,0,0,0.122456191400583
43958,44833,"43958 - 44833","+","WP_003243457.1","B4U62_RS00240","WP_003243457.1"," 16S rRNA (cytidine(1402)-2'-O)-methyltransferase","rsmI",875,11.73333333,8.821505376,2.911827957,-1.645734492,-3.274795974,-3.507076635,0.013409524,NA,1.033333333,-0.033333333,-0.007716049,1,6,10,31,50,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.02213603,0.45959622,0.048164082,571.2553964,303.7446036,0.013409524,0.029042509,0.005097244,100,0.997871484,0,0,0,0,0,0,0.17550976742402
44888,45175,"44888 - 45175","-","WP_003226760.1","B4U62_RS00245","WP_003226760.1"," transition state genes transcriptional regulator AbrB","abrB",287,0.322580645,0.193548387,0.129032258,-2.008131484,-3.251915986,-3.269458815,0.001123974,NA,0.666666667,0.333333333,0.1,1,1,1,2,3,1,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.004038417,0.069814302,0.057845126,183,104,0.001123974,0.001861042,0.000705094,96.77419355,0.992018623,0,0,0,0,0,0,0.378870546715227
45670,47661,"45670 - 47661","+","WP_003226758.1","B4U62_RS00250","WP_003226758.1"," methionine--tRNA ligase","metG",1991,25.04516129,23.04946237,1.995698925,-1.293622761,-2.670639416,-2.901405896,0.012579187,NA,NA,NA,-0.071895425,0.613122258,0,19,11,142,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.007371988,0.400005486,0.018429717,1306.499998,684.500002,0.012579187,0.033673429,0.001527515,100,0.997299703,0,0,0,0,0,0,0.0453626210743195
47743,48507,"47743 - 48507","+","WP_003226756.1","B4U62_RS00255","WP_003226756.1"," TatD family hydrolase","dayD",764,6.103225806,4.455913978,1.647311828,-2.134186592,-3.605310654,-3.684381892,0.007988515,NA,3.272727273,-2.272727273,-0.137362637,0.436026759,1,12,12,44,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.023946331,0.408652753,0.058598236,503.499998,260.500002,0.007988515,0.017105236,0.003271722,100,0.995673723,0,0,0,0,0,0,0.191270205216695
48666,49976,"48666 - 49976","+","WP_003226754.1","B4U62_RS00260","WP_003226754.1"," ubiquitin-like domain-containing protein","yabE",1310,6.597849462,3.475268817,3.122580645,-2.178144101,-3.588222329,-3.64001161,0.005036526,NA,0.8,0.2,0.055555556,1,4,4,28,35,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.020969917,0.160018058,0.131047191,857.999999,452.000001,0.005036526,0.007688648,0.003639371,100,0.983650023,0,0,0,0,0,0,0.473343427869243
50124,50681,"50124 - 50681","+","WP_003226752.1","B4U62_RS00265","WP_003226752.1"," ribonuclease M5","rnmV",557,5.058064516,4.077419355,0.980645161,-1.812431894,-2.742525504,-2.719010851,0.009080906,NA,0.272727273,0.727272727,0.246153846,0.21894498,2,3,6,33,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.019742096,0.291401834,0.067748701,358.166665,198.833335,0.009080906,0.020506719,0.002737958,100,0.999769997,0,0,0,0,0,0,0.133515166419357
50677,51552,"50677 - 51552","+","WP_003226751.1","B4U62_RS00270","WP_003226751.1"," 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA","rsmA",875,12.14623656,9.329032258,2.817204301,-1.29692467,-2.261792286,-2.357773437,0.013881413,NA,0.654545455,0.345454545,0.086757991,0.687370036,3,6,18,55,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.017278835,0.356470433,0.048472,563.0895128,311.9104872,0.013881413,0.029909325,0.00500312,100,0.998568752,0,0,0,0,0,0,0.167276259159978
51717,52586,"51717 - 52586","+","WP_003243478.1","B4U62_RS00275","WP_003243478.1"," sporulation-specific protease PrtG","prtG",869,9.522580645,3.849462366,5.67311828,-1.36781049,-2.827264463,-3.060574542,0.010958091,NA,1.269230769,-0.269230769,-0.059322034,0.744539594,5,5,33,26,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.020253893,0.302355629,0.066986987,559.1273368,309.8726632,0.010958091,0.012422723,0.01014638,100,0.994789935,0,0,0,0,0,0,0.81675973939047
52800,53057,"52800 - 53057","+","WP_003218330.1","B4U62_RS00280","WP_003218330.1"," protein Veg","veg",257,0.253763441,0.253763441,0,-1.543773381,-1.680786182,-1.491785167,0.000987406,NA,NA,NA,NA,1,0,0,0,3,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0,0.031947039,0,161,96,0.000987406,0.002643369,0,96.77419355,1,0,0,0,0,0,0,0
53220,53402,"53220 - 53402","+","WP_003218333.1","B4U62_RS00285","WP_003218333.1"," small, acid-soluble spore protein, alpha/beta type","sspF",182,3.066666667,3.066666667,0,1.114385933,0.586751162,0.192509086,0.016849817,NA,NA,NA,0,1,0,1,0,9,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0,0.310353854,0,121.5,60.5,0.016849817,0.050688705,0,93.5483871,0.994623655,0,0,0,0,0,0,0
53553,54419,"53553 - 54419","+","WP_003226742.1","B4U62_RS00290","WP_003226742.1"," 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase","ispE",866,6.378494624,6.055913978,0.322580645,-2.062233151,-3.480854472,-3.558448203,0.007365467,NA,0.377358491,0.622641509,0.113793103,0.404296893,1,4,5,53,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.009490209,0.303987383,0.031219089,561.499999,304.500001,0.007365467,0.019888059,0.000574498,100,0.987467555,0,0,0,0,0,0,0.028886579630521
54478,55332,"54478 - 55332","+","WP_003218342.1","B4U62_RS00295","WP_003218342.1"," pur operon repressor","purR",854,4.378494624,4.249462366,0.129032258,-2.016885514,-3.722220952,-3.893165298,0.005127043,NA,NA,NA,-0.051282051,1,0,5,2,37,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.00220701,0.194017378,0.01137532,556.6273408,297.3726592,0.005127043,0.014290024,0.000231811,100,0.992555832,0,0,0,0,0,0,0.0162218761843927
55332,55706,"55332 - 55706","+","WP_003226738.1","B4U62_RS00300","WP_003226738.1"," RidA family protein","ridA",374,4.331182796,2.32688172,2.004301075,-1.36493136,-2.995388777,-3.268731435,0.011580703,NA,0.323529412,0.676470588,0.273809524,0.557508343,2,1,11,17,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.006854732,0.330198596,0.020759423,245.999999,128.000001,0.011580703,0.018178763,0.008147565,100,1,0,0,0,0,0,0,0.448191386839688
55903,56193,"55903 - 56193","+","WP_003218346.1","B4U62_RS00305","WP_000454041.1"," septation regulator SpoVG","spoVG",290,0.064516129,0,0.064516129,-1.144731055,-1.712640585,-1.692960891,0.000222469,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,"Unknown",0,0,0,0,0,0,0,0,0,0.021688631,0,188,102,0.000222469,0,0.000343171,100,1,0,0,0,0,0,0,NA
56389,57756,"56389 - 57756","+","WP_003226732.1","B4U62_RS00310","WP_003226732.1"," bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU","glmU",1367,7.819354839,1.694623656,6.124731183,-1.918259899,-3.250458168,-3.331665088,0.005720084,NA,0.236842105,0.763157895,0.205965909,0.269265144,10,1,45,19,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.013377208,0.178040989,0.075135554,897.499997,469.500003,0.005720084,0.003609422,0.006824213,100,1,0,0,0,0,0,0,1.89066642803197
57782,58732,"57782 - 58732","+","WP_003218353.1","B4U62_RS00315","WP_003218353.1"," ribose-phosphate diphosphokinase","prs",950,2.176344086,1.858064516,0.31827957,-2.363384518,-4.229540772,-4.37375367,0.002290889,NA,NA,NA,-0.142857143,1,0,4,4,24,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.001244366,0.142738161,0.008717826,618.499999,331.500001,0.002290889,0.005605021,0.000514599,100,0.995671874,0,0,0,0,0,0,0.0918103607461953
58820,59431,"58820 - 59431","+","WP_003243443.1","B4U62_RS00320","WP_003243443.1"," 50S ribosomal protein L25/general stress protein Ctc","ctc",611,6.395698925,4.907526882,1.488172043,-1.544173223,-3.073097422,-3.287685855,0.010467592,NA,NA,NA,-0.255813953,0.314837452,0,6,11,32,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.025895871,0.273188268,0.094791299,397.4094087,213.5905913,0.010467592,0.022976325,0.003744682,100,1,0,0,0,0,0,0,0.162980024002968
